FILE,CELL,N_Q570,N_Q670,N_GFP,dose,normalized_Q570
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_05_R3D_D3D_Q570_outline.txt,Cell_CP_6,52,62,17,0.01,0.8387096774193549
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_05_R3D_D3D_Q570_outline.txt,Cell_CP_8,29,55,7,0.01,0.5272727272727272
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_05_R3D_D3D_Q570_outline.txt,Cell_CP_10,14,120,5,0.01,0.11666666666666667
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_05_R3D_D3D_Q570_outline.txt,Cell_CP_11,4,113,4,0.01,0.035398230088495575
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_05_R3D_D3D_Q570_outline.txt,Cell_CP_12,2,70,6,0.01,0.02857142857142857
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_05_R3D_D3D_Q570_outline.txt,Cell_CP_13,42,106,20,0.01,0.39622641509433965
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_05_R3D_D3D_Q570_outline.txt,Cell_CP_14,15,164,4,0.01,0.09146341463414634
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_05_R3D_D3D_Q570_outline.txt,Cell_15,1,109,1,0.01,0.009174311926605505
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_05_R3D_D3D_Q570_outline.txt,Cell_16,7,109,8,0.01,0.06422018348623854
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_06_R3D_D3D_Q570_outline.txt,Cell_CP_2,0,111,1,0.01,0
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_06_R3D_D3D_Q570_outline.txt,Cell_CP_3,0,177,0,0.01,0
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_06_R3D_D3D_Q570_outline.txt,Cell_CP_4,9,73,13,0.01,0.1232876712328767
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_06_R3D_D3D_Q570_outline.txt,Cell_CP_5,1,51,9,0.01,0.0196078431372549
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_06_R3D_D3D_Q570_outline.txt,Cell_CP_7,1,105,6,0.01,0.009523809523809525
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_06_R3D_D3D_Q570_outline.txt,Cell_CP_8,4,133,2,0.01,0.03007518796992481
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_06_R3D_D3D_Q570_outline.txt,Cell_CP_9,19,144,10,0.01,0.13194444444444445
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_06_R3D_D3D_Q570_outline.txt,Cell_CP_10,2,196,5,0.01,0.01020408163265306
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_06_R3D_D3D_Q570_outline.txt,Cell_CP_11,1,94,6,0.01,0.010638297872340425
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_06_R3D_D3D_Q570_outline.txt,Cell_CP_12,38,74,7,0.01,0.5135135135135135
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_06_R3D_D3D_Q570_outline.txt,Cell_CP_13,3,102,3,0.01,0.029411764705882353
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_06_R3D_D3D_Q570_outline.txt,Cell_CP_14,78,212,4,0.01,0.36792452830188677
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_06_R3D_D3D_Q570_outline.txt,Cell_CP_15,35,78,0,0.01,0.44871794871794873
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_06_R3D_D3D_Q570_outline.txt,Cell_CP_16,1,80,6,0.01,0.0125
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_06_R3D_D3D_Q570_outline.txt,Cell_CP_17,45,129,11,0.01,0.3488372093023256
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_06_R3D_D3D_Q570_outline.txt,Cell_CP_18,43,67,6,0.01,0.6417910447761194
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_07_R3D_D3D_Q570_outline.txt,Cell_CP_1,0,284,6,0.01,0
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_07_R3D_D3D_Q570_outline.txt,Cell_CP_4,15,102,7,0.01,0.14705882352941177
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_07_R3D_D3D_Q570_outline.txt,Cell_CP_5,10,137,19,0.01,0.072992700729927
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_07_R3D_D3D_Q570_outline.txt,Cell_CP_6,0,88,0,0.01,0
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_07_R3D_D3D_Q570_outline.txt,Cell_CP_7,48,113,32,0.01,0.4247787610619469
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_07_R3D_D3D_Q570_outline.txt,Cell_CP_9,10,70,19,0.01,0.14285714285714285
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_07_R3D_D3D_Q570_outline.txt,Cell_CP_10,0,193,7,0.01,0
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_07_R3D_D3D_Q570_outline.txt,Cell_CP_11,0,89,8,0.01,0
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_07_R3D_D3D_Q570_outline.txt,Cell_CP_12,0,121,2,0.01,0
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_07_R3D_D3D_Q570_outline.txt,Cell_CP_13,25,175,0,0.01,0.14285714285714285
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_07_R3D_D3D_Q570_outline.txt,Cell_CP_14,23,150,17,0.01,0.15333333333333332
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_07_R3D_D3D_Q570_outline.txt,Cell_CP_15,2,107,6,0.01,0.018691588785046728
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_07_R3D_D3D_Q570_outline.txt,Cell_CP_16,15,119,0,0.01,0.12605042016806722
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_07_R3D_D3D_Q570_outline.txt,Cell_CP_17,0,244,6,0.01,0
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_08_R3D_D3D_Q570_outline.txt,Cell_CP_1,16,175,17,0.01,0.09142857142857143
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_08_R3D_D3D_Q570_outline.txt,Cell_CP_2,19,109,26,0.01,0.1743119266055046
